,,School System & School,# Tested,% Tested,Math Score,CR Score1,Writing Score,M+CR2,M+CR+W3,,,, 
,318,Polk County High,57,41.9,515,495,481,1010,1491,,,,
760,760,Randolph County ,448,48.2,506,472,468,978,1446,,,,
,318,Eastern Randolph High,120,48,497,472,467,969,1436,,,,
,348,Randleman High,93,47.7,486,455,449,941,1390,,,,
,358,Southwestern High,99,42.9,505,476,471,981,1452,,,,
,380,Trinity High,136,53.5,527,481,478,1008,1486,,,,
761,761,Asheboro City ,140,59.1,515,508,487,1023,1510,,,,
,304,Asheboro High,140,59.1,515,508,487,1023,1510,,,,
770,770,Richmond County ,109,26.3,490,467,460,957,1417,,,,
,348,Richmond Senior High,109,26.3,490,467,460,957,1417,,,,
780,780,Robeson County ,495,42.3,452,422,416,874,1290,,,,
,325,Fairmont High,33,29.2,439,433,424,872,1296,,,,
,342,Lumberton Senior High,205,49.3,460,438,427,898,1325,,,,
,391,Red Springs High,31,28.4,434,378,385,812,1197,,,,
,401,Saint Pauls High,64,34.2,447,429,419,876,1295,,,,
,402,South Robeson High,28,36.8,442,396,377,838,1215,,,,
